import adsk.core; app=adsk.core.Application.get(); ui=app.userInterface; print('FUSION_COMMAND_CATALOG_BEGIN'); print(chr(10).join([ui.commandDefinitions.item(i).id+chr(9)+ui.commandDefinitions.item(i).name for i in range(ui.commandDefinitions.count)])); print('FUSION_COMMAND_CATALOG_END') 
FUSION_COMMAND_CATALOG_BEGIN
AlertCommand	Alert
PerformanceFeedbackCommand	perfFeedback
NotificationCenterCommand	Notification Center
CloudServiceStatusCommand	Cloud service maintenance.
PlatformWarningCommand	Platform Compatibility Warnings
WhatsNewBanerCommand	Whats New Banner Message
CloudStatusCommand	 1
FeaturePacksCommand	
PreviewPacksCommand	Preview Upcoming Paid Features
UnsupportedWindowsBuildBannerCommand	Unsupported Windows build banner Message
RemoveLinks	Remove Links
ShowCommandToolbarCommand	Show Command Toolbar
HideCommandToolbarCommand	Hide Command Toolbar
VisibilityToggleCmd	Show/Hide
OpenCommandNew	Open
ExportCommand	Export...
CloseDocumentCommand	Close
CommitCommand	OK
SelectCommand	Select
CancelCommand	Cancel
ClearAllAlertsCommand	Clear all Alerts
UndoCommand	Undo
RedoCommand	Redo
SelectionFilterCommand	Selection Filters
SelectFacePriorityCommand	Select Face Priority
SelectBodyPriorityCommand	Select Body Priority
SelectEdgePriorityCommand	Select Edge Priority
SelectComponentPriorityCommand	Select Component Priority
SelectTSplineFacePriorityCommand	Select Face Priority
SelectTSplineBodyPriorityCommand	Select Body Priority
SelectTSplineEdgePriorityCommand	Select Edge Priority
ActivateEnvironmentCommand	Workspace
UndoDropDown	Undo Multiple
RedoDropDown	Redo Multiple
AssetShellCommand	Asset Shell
ExitApplicationCommand	Exit Application
ClearUserCacheCommand	Clear Cache Data
ServiceUtilityCommand	Service Utility
UpdateNowCommand	Check for Updates
SwitchAssetCommand	Switch Asset
CopyToDesktopCommand	Export Archive ...
SaveDocumentAsCommand	Save As...
SaveAsImageCommand	Capture Image...
NewDocumentCommand	New...
NewFromLocalCommand	New Design From File
NewSingleDocumentCommand	New Single Document
RenameCommand	Rename
OpenDocumentCommand	Open...
SaveDocumentCommand	Save Local
CloseAllDocumentsCommand	Close All
CurrentlyOpenDocumentsCommand	My Active Docs
RecentDocumentsCommand	Recent Documents
CreateFromDesignCommand	Create
ContinueDragFromDashboardCommand	Drag and drop from Dashboard
PLM360OpenAttachmentCommand	Open
PLM360FileImportCommand	Import
AutoSaveFilesCommand	AutoSave
PLM360SaveCommand	Save
PLM360SaveAsCommand	Save As
PLM360SaveNonFusionFileCommand	SaveNonFusion
PLM360NewItemCommand	New Item
PLM360NotifyMessageCommand	Fusion Team Notification
PLM360FileBrowserCommand	Import
PLM360LaunchStandaloneBrowser	 Launch Browser...
PLM360OpenDetailsCommand	View Details on Web
PLM360RefreshRenamedItemCommand	Refresh renamed file
DashboardCreateMilestoneCommand	Create
DashboardUpdateMilestoneCommand	Update
CreateVersionCommandFromCtxMenu	Create Version
CreateVersionCommand	Create Version
SaveComputedStateCommand	Save Computed State
FileSubMenuCommand	File
F3ZFileImportCommand	Import an F3Z archive
ShowJobManagerDlgCmd	Job Status
LearningPaletteCommand	Quick Setup
ShowLearningPaletteCommand	Show Quick Setup
HideLearningPaletteCommand	Hide Quick Setup
ScriptingDocumentationCommand	Scripting Documentation
AboutBoxCommand	About
ReportProblemCmd	Report a Problem
DropdownHandleTestCommand	Dropdown Handle Test
DemoControls2Command	Demo Controls
TestToolkitCommand	Test Toolkit
TestOptionGroupCommand	Layout Option
TestTableCommand	Test Table UI
TestTabBarCommand	Test TabBar
ShowHUDCommand	Show HUD
AnnotateLogFileCommand	Annotate Log File
GatherDiagnosticsDataCommand	Diagnostic Log Files
AskAndRunCmd	AskAndRun
CutCommand	Cut
DeleteCommand	Delete
RepeatCommand	Repeat Fillet
HideTextCommandsCommand	Hide Text Commands
ShowTextCommandsCommand	Show Text Commands
RunTestsCommand	Run Build Acceptance Tests
ProductTourGuideCommand	What's New
ShareCommand	Sign In
ShowNavigationToolbarCommand	Show Navigation Bar
HideNavigationToolbarCommand	Hide Navigation Bar
ShowBrowserCommand	Show Browser
HideBrowserCommand	Hide Browser
ShowPerformanceOverlayCommand	Show Performance Overlay
HidePerformanceOverlayCommand	Hide Performance Overlay
HelpGroupCommand	Help
HelpCommand	Self-Paced Learning
LearningAndHelpCommand	Learning and Documentation
CommunityCommand	Community
SupportAndDiagnosticsCommand	Support and Diagnostics
LearningAndTutorialsCommand	Product Documentation
BlogCommand	Blog
APIHelpCommand	Fusion API
SearchCommand	Search
ForumCommand	Forum
